timestamp,tag,addr,V_read,I_read,P_power_supply,health,health_status,health_error_W,status_raw,is_on,error
1785988449.7808058,active_health_V20_I3,1,20.01,2.1,42.02100000000001,99.94999999999999,high_power,2.021000000000008,1,True,
1785988449.7808058,active_health_V20_I3,2,8.03,2.99,24.0097,63.18342105263157,low_power,-15.990300000000001,1,True,
1785988449.7808058,active_health_V20_I3,3,20.01,1.83,36.618300000000005,96.36394736842107,low_power,-3.381699999999995,1,True,
1785988449.7808058,active_health_V20_I3,4,20.01,1.97,39.419700000000006,100.0,healthy,-0.580299999999994,1,True,
1785988449.7808058,active_health_V20_I3,5,20.0,1.99,39.8,100.0,healthy,-0.20000000000000284,1,True,
1785988449.7808058,active_health_V20_I3,6,20.0,2.03,40.599999999999994,100.0,healthy,0.5999999999999943,1,True,
1785988449.7808058,active_health_V20_I3,7,20.0,1.95,39.0,100.0,healthy,-1.0,1,True,
1785988449.7808058,active_health_V20_I3,8,20.0,1.77,35.4,93.15789473684211,low_power,-4.600000000000001,1,True,
1785988449.7808058,active_health_V20_I3,9,20.01,1.79,35.8179,94.25763157894737,low_power,-4.182099999999998,1,True,
1785988449.7808058,active_health_V20_I3,10,20.01,1.81,36.21810000000001,95.31078947368424,low_power,-3.781899999999993,1,True,
1785988449.7808058,active_health_V20_I3,11,20.0,1.79,35.8,94.21052631578947,low_power,-4.200000000000003,1,True,
1785988449.7808058,active_health_V20_I3,12,20.0,1.76,35.2,92.63157894736844,low_power,-4.799999999999997,1,True,
1785988449.7808058,active_health_V20_I3,13,20.0,1.76,35.2,92.63157894736844,low_power,-4.799999999999997,1,True,
1785988449.7808058,active_health_V20_I3,14,20.0,1.76,35.2,92.63157894736844,low_power,-4.799999999999997,1,True,
1785988449.7808058,active_health_V20_I3,15,19.99,1.83,36.5817,96.26763157894736,low_power,-3.418300000000002,1,True,
1785988449.7808058,active_health_V20_I3,16,20.01,1.7,34.017,89.51842105263158,low_power,-5.982999999999997,1,True,
1785988449.7808058,active_health_V20_I3,17,19.99,1.97,39.3803,100.0,healthy,-0.6197000000000017,1,True,
1785988449.7808058,active_health_V20_I3,18,19.99,1.85,36.9815,97.31973684210526,low_power,-3.018500000000003,1,True,
1785988449.7808058,active_health_V20_I3,19,19.99,1.86,37.1814,97.84578947368419,low_power,-2.8186000000000035,1,True,
1785988449.7808058,active_health_V20_I3,20,19.99,1.82,36.3818,95.74157894736841,low_power,-3.6182000000000016,1,True,
1785988449.7808058,active_health_V20_I3,21,20.01,1.77,35.4177,93.20447368421054,low_power,-4.5822999999999965,1,True,
1785988449.7808058,active_health_V20_I3,22,20.01,1.8,36.018,94.78421052631579,low_power,-3.9819999999999993,1,True,
1785988449.7808058,active_health_V20_I3,23,19.99,1.79,35.7821,94.16342105263158,low_power,-4.2179,1,True,
1785988449.7808058,active_health_V20_I3,24,20.01,1.93,38.6193,100.0,healthy,-1.3806999999999974,1,True,
1785988449.7808058,active_health_V20_I3,25,20.0,1.88,37.599999999999994,98.94736842105262,low_power,-2.4000000000000057,1,True,
1785988449.7808058,active_health_V20_I3,26,19.99,1.93,38.58069999999999,100.0,healthy,-1.419300000000007,1,True,
1785988449.7808058,active_health_V20_I3,27,19.99,1.84,36.7816,96.79368421052631,low_power,-3.2184000000000026,1,True,
1785988449.7808058,active_health_V20_I3,28,19.99,1.91,38.180899999999994,100.0,healthy,-1.819100000000006,1,True,
1785988449.7808058,active_health_V20_I3,29,20.0,1.79,35.8,94.21052631578947,low_power,-4.200000000000003,1,True,
1785988449.7808058,active_health_V20_I3,30,20.0,1.95,39.0,100.0,healthy,-1.0,1,True,
1785988449.7808058,active_health_V20_I3,31,19.99,1.77,35.3823,93.11131578947368,low_power,-4.617699999999999,1,True,
1785988449.7808058,active_health_V20_I3,32,20.01,1.78,35.6178,93.73105263157895,low_power,-4.382199999999997,1,True,
1785988449.7808058,active_health_V20_I3,33,20.0,1.77,35.4,93.15789473684211,low_power,-4.600000000000001,1,True,
1785988449.7808058,active_health_V20_I3,34,20.01,1.81,36.21810000000001,95.31078947368424,low_power,-3.781899999999993,1,True,
1785988449.7808058,active_health_V20_I3,35,20.0,1.88,37.599999999999994,98.94736842105262,low_power,-2.4000000000000057,1,True,
1785988449.7808058,active_health_V20_I3,36,20.0,2.01,40.199999999999996,100.0,healthy,0.19999999999999574,1,True,
1785988449.7808058,active_health_V20_I3,37,20.01,1.92,38.419200000000004,100.0,healthy,-1.5807999999999964,1,True,
1785988449.7808058,active_health_V20_I3,38,20.01,1.81,36.21810000000001,95.31078947368424,low_power,-3.781899999999993,1,True,
1785988449.7808058,active_health_V20_I3,39,20.01,1.93,38.6193,100.0,healthy,-1.3806999999999974,1,True,
1785988449.7808058,active_health_V20_I3,40,20.0,1.96,39.2,100.0,healthy,-0.7999999999999972,1,True,
1785988449.7808058,active_health_V20_I3,41,20.0,1.79,35.8,94.21052631578947,low_power,-4.200000000000003,1,True,
1785988449.7808058,active_health_V20_I3,42,19.99,1.81,36.1819,95.21552631578948,low_power,-3.818100000000001,1,True,
1785988449.7808058,active_health_V20_I3,43,20.01,1.92,38.419200000000004,100.0,healthy,-1.5807999999999964,1,True,
1785988449.7808058,active_health_V20_I3,44,20.0,1.73,34.6,91.05263157894737,low_power,-5.399999999999999,1,True,
1785988449.7808058,active_health_V20_I3,45,20.0,1.95,39.0,100.0,healthy,-1.0,1,True,
1785988449.7808058,active_health_V20_I3,46,20.0,1.74,34.8,91.57894736842104,low_power,-5.200000000000003,1,True,
1785988449.7808058,active_health_V20_I3,47,20.0,1.82,36.4,95.78947368421052,low_power,-3.6000000000000014,1,True,
1785988449.7808058,active_health_V20_I3,48,20.0,1.69,33.8,88.94736842105262,low_power,-6.200000000000003,1,True,
1785988449.7808058,active_health_V20_I3,49,20.01,1.82,36.418200000000006,95.83736842105264,low_power,-3.581799999999994,1,True,
1785988449.7808058,active_health_V20_I3,50,19.99,1.98,39.5802,100.0,healthy,-0.41980000000000217,1,True,
1785988449.7808058,active_health_V20_I3,51,7.5,2.99,22.425,59.01315789473684,low_power,-17.575,1,True,
1785988449.7808058,active_health_V20_I3,52,7.52,2.99,22.4848,59.17052631578947,low_power,-17.5152,1,True,
1785988449.7808058,active_health_V20_I3,53,7.43,3.3,24.519,64.52368421052631,low_power,-15.481000000000002,1,True,
1785988449.7808058,active_health_V20_I3,54,9.29,3.0,27.869999999999997,73.34210526315788,low_power,-12.130000000000003,1,True,
1785988449.7808058,active_health_V20_I3,55,12.61,3.0,37.83,99.55263157894737,low_power,-2.1700000000000017,1,True,
1785988449.7808058,active_health_V20_I3,56,7.66,2.99,22.9034,60.2721052631579,low_power,-17.0966,1,True,
1785988449.7808058,active_health_V20_I3,57,4.53,3.0,13.59,35.76315789473684,low_power,-26.41,1,True,
1785988449.7808058,active_health_V20_I3,58,11.45,3.01,34.464499999999994,90.69605263157894,low_power,-5.535500000000006,1,True,
1785988449.7808058,active_health_V20_I3,59,11.29,3.0,33.87,89.13157894736841,low_power,-6.130000000000003,1,True,
1785988449.7808058,active_health_V20_I3,60,12.19,3.01,36.6919,96.55763157894735,low_power,-3.308100000000003,1,True,
1785988449.7808058,active_health_V20_I3,61,9.59,2.99,28.674100000000003,75.45815789473686,low_power,-11.325899999999997,1,True,
1785988449.7808058,active_health_V20_I3,62,10.43,3.01,31.394299999999998,82.61657894736841,low_power,-8.605700000000002,1,True,
1785988449.7808058,active_health_V20_I3,63,9.29,3.01,27.962899999999994,73.58657894736841,low_power,-12.037100000000006,1,True,
1785988449.7808058,active_health_V20_I3,64,7.39,3.0,22.169999999999998,58.3421052631579,low_power,-17.830000000000002,1,True,
1785988449.7808058,active_health_V20_I3,65,10.5,2.99,31.395000000000003,82.61842105263159,low_power,-8.604999999999997,1,True,
