freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-6.915197939700000518e+01,-7.004603952399999400e+01,-7.761485386200000391e+01,-7.538382929399999455e+01,-9.259618300299999305e+01
3.001001001000000099e-02,-8.392239610599999367e+01,-7.460059486599999445e+01,-7.147186921200000143e+01,-8.080065451199999416e+01,-7.968598059100000341e+01
5.002002002000000003e-02,-7.898420876400000168e+01,-8.850551238500000295e+01,-8.025388326499999891e+01,-8.402968117400000381e+01,-7.296064159799999516e+01
7.003003002999999560e-02,-8.450136722199999895e+01,-7.906590509299999781e+01,-7.766231295400000079e+01,-7.830159138400000529e+01,-7.944365816100000188e+01
9.004004004000000505e-02,-7.928332281000000137e+01,-8.016425910499999929e+01,-8.768362447200000531e+01,-8.431487145699999530e+01,-7.870550275200000101e+01
1.100500500500000006e-01,-8.122698109799999600e+01,-7.674465225800000212e+01,-7.897306589500000484e+01,-8.010288375899999380e+01,-8.328676090499999418e+01
1.300600600600000101e-01,-8.048966605900000104e+01,-7.759817027100000075e+01,-7.876625367799999822e+01,-9.714268287999999529e+01,-8.628117044799999746e+01
1.500700700700000056e-01,-7.894554551999999603e+01,-8.873629429400000390e+01,-9.196230070299999682e+01,-7.502602086900000700e+01,-7.781049237700000276e+01
1.700800800800000012e-01,-7.692819516400000168e+01,-7.326321208100000604e+01,-7.909191022400000293e+01,-8.430629927200000395e+01,-8.190451373899999510e+01
1.900900900899999968e-01,-8.060561400000000276e+01,-7.856105123300000059e+01,-8.359759044700000175e+01,-8.335504122199999699e+01,-8.628438031899999316e+01
2.101001000999999924e-01,-7.268053744499999880e+01,-8.172516671900000063e+01,-7.765425176899999826e+01,-9.035724050800000384e+01,-7.864394825899999830e+01
2.301101101100000157e-01,-9.402630660200000534e+01,-8.090483744099999797e+01,-8.733691852699999458e+01,-7.640057669399999440e+01,-8.793807559500000082e+01
2.501201201200000113e-01,-7.947610144799999432e+01,-8.125056188700000348e+01,-8.155756141700000228e+01,-7.633938076399999773e+01,-8.097675694500000532e+01
2.701301301299999791e-01,-8.763104387699999620e+01,-8.355184460200000274e+01,-8.195202258400000517e+01,-7.813525810699999852e+01,-7.955316357700000651e+01
2.901401401400000024e-01,-7.829244119800000590e+01,-8.717144853700000340e+01,-8.207301576800000475e+01,-9.568691694199999631e+01,-7.947790007599999740e+01
3.101501501499999702e-01,-8.203582015099999580e+01,-8.091113468700000055e+01,-7.647447769000000051e+01,-8.803569455000000232e+01,-8.522103746199999819e+01
3.301601601600000491e-01,-7.330385424499999658e+01,-7.199651736200000585e+01,-8.474391219199999625e+01,-7.850226628800000128e+01,-8.652885186599999656e+01
